outside_rho,outside_phi
856585.7960275727,-0.0003199585035790467
856585.846737107,-0.000319958467747302
856586.3538324502,-0.00031995810943034447
856591.4247858822,-0.0003199545263096989
856642.1343202023,-0.00031991869999550886
857149.2296634028,-0.0003195609253457272
862220.1830954077,-0.00031603130523143327
912929.7174154567,-0.0002849244536722708
1174561.3584253169,-0.00019139845589119877
1510681.0258208893,-0.00013578281996594747
2088433.6496845845,-9.094659609028101e-05
3007156.253083133,-5.9721210026679804e-05
4530922.2708284315,-3.802616453267354e-05
7101903.786137851,-2.3507185441420687e-05
10000000.0,-1.6366934108564637e-05
