outside_rho,outside_phi
843272.0833797834,-0.0012332606186565807
843272.1657006008,-0.0012332603972878197
843272.9889087748,-0.0012332581836050271
843281.2209905145,-0.0012332360472588236
843363.5418079115,-0.0012330147319575095
844186.7499818812,-0.0012308063835654239
852418.8317215788,-0.0012091921944308835
934739.6491185549,-0.0010310570229032246
1113243.6893052838,-0.0007869935739691687
1344536.1158176896,-0.0006054944485556885
1682918.6997412124,-0.00045434957251914315
2163765.7377291205,-0.00033617119840793604
2858671.6607285296,-0.00024471254544976425
3871605.608899653,-0.0001754254157687406
5369746.048319146,-0.00012377250217966633
7621481.460738055,-8.589883293198277e-05
10000000.0,-6.49745579735429e-05
