outside_rho,outside_phi
797195.8597178939,0.006184999673575246
797196.1346033075,0.006184996125317713
797198.8834574433,0.006184960642982695
797226.371998802,0.006184605843662036
797501.2574123881,0.006181060251660923
800250.1115482497,0.006145842718641418
827738.6529068659,0.00581589563226423
922276.8834744868,0.004919868916008155
1027209.2539126613,0.0042106806393007665
1160094.7248831107,0.0035667072576093272
1324617.6172784949,0.003002839189345791
1529591.3017105614,0.002511248811051983
1785538.4781373073,0.002086606842647593
2106420.9346303283,0.0017225920145280853
2510590.767919203,0.0014128461887393355
3022435.170138648,0.001151129755174425
3674602.134980342,0.0009315126387308686
4511164.49334001,0.0007484796132623647
5592132.100127431,0.0005969877456649968
6999961.199696372,0.00047248704743187554
8849044.54739493,0.00037091691755112676
10000000.0,0.00032714860554994946
