shell_rho,shell_phi
599010.2546253,-0.013232234563193092
603805.3482407435,-0.012572417415878143
608140.4393949781,-0.011992198112580415
613076.8012374522,-0.011350989746365132
617767.1699898993,-0.010761517645726271
622257.2913853804,-0.010215723595570344
626541.8217076558,-0.009712142962052715
634302.2948667794,-0.008843675170342256
638755.0597700436,-0.0083711248591895
643207.8246733078,-0.00791751878420226
646353.4044695266,-0.007608527772009663
648213.9971350976,-0.00743022509547669
650074.5898006686,-0.007255237047536792
652334.2803885746,-0.007047164374455002
656808.9444851824,-0.006649489087330856
661283.6085817902,-0.006270754839658126
665587.4873658471,-0.005924145067507611
670067.6234862404,-0.005581472926486351
674380.1880167039,-0.005268778545515349
681187.1126499673,-0.004808609497170539
684816.8773472524,-0.004579469583734864
688446.6420445376,-0.004361288037653224
693263.4640363118,-0.004088189943117348
698203.5432217891,-0.003826908192947667
703143.6224072663,-0.0035838967999722027
706353.4106202003,-0.003435414505815706
708615.6671413948,-0.003335073865353078
710877.9236625893,-0.003238207201397666
714317.365655443,-0.003097414312625813
716482.2911157083,-0.003012694091304912
718647.2165759736,-0.0029309049869212494
721207.3547341226,-0.002837874037883747
725119.9768186595,-0.002703175817113202
727632.4678088666,-0.002621286901105863
729994.3544304083,-0.0025474825547313344
732981.2940320869,-0.0024584196223875606
735968.2336337654,-0.002373972092228268
740358.4199241404,-0.002257881708060505
745085.0142234153,-0.0021430548826007127
748142.774399583,-0.0020740984211855443
750973.2750315429,-0.0020138297585030576
753994.5158269834,-0.0019531339310755857
757231.013220775,-0.0018921117696008329
760166.1497351587,-0.001840202147585176
763185.5499227867,-0.0017900669469261932
765676.918878352,-0.001751096317743858
767913.7178654845,-0.001717887667634011
770150.516852617,-0.0016863076656477402
772260.3501526939,-0.0016579656783821336
773531.1980490823,-0.0016415526833220024
774802.0459454707,-0.0016256235319025115
775994.3190484161,-0.0016111109135005413
778057.9856724116,-0.0015869564455132297
779356.7606338141,-0.0015723672578424645
780655.5355952167,-0.001558239777902409
782443.8192841461,-0.0015395256777903587
784452.4887800487,-0.0015194970359704565
785332.1287119648,-0.001511047976801337
786211.768643881,-0.0015027908729266211
787162.4735063852,-0.0014940792025472272
787868.5787655731,-0.001487749674384228
788574.684024761,-0.0014815384913514887
789341.9768892041,-0.0014749215151590774
792575.9989372544,-0.0014485049701462094
793706.4523746255,-0.001439814922549966
794803.2300064645,-0.0014316436984819947
795382.4995912416,-0.0014274294345121518
795961.7691760187,-0.0014232842179348133
796504.6297754059,-0.00141946148613395
797459.6214604181,-0.0014128799529395573
798414.6131454303,-0.0014064780567673058
799502.3017554889,-0.0013994007358864343
801082.7689435997,-0.001389512694622979
802078.8357163838,-0.001383515074077954
803074.9024891679,-0.0013776935013280747
803848.6465030132,-0.0013732901084230551
804622.3905168585,-0.001368988421781254
805194.5445381368,-0.0013658717315651733
805766.6985594151,-0.0013628087576903467
806983.9372251334,-0.0013564673590369303
807690.8690267785,-0.0013528912849296451
808397.8008284236,-0.0013493917559261397
808939.838189527,-0.0013467593704429087
809481.8755506305,-0.0013441703501080142
810373.9010151145,-0.0013400021294874152
811198.0412265781,-0.001336250970605112
812022.1814380416,-0.0013325930605058343
812357.8025487239,-0.0013311295403829692
812693.4236594061,-0.0013296808732773506
813171.9806254766,-0.001327640574258711
813861.5791982767,-0.001324751918933243
814306.2388678587,-0.0013229208153408847
814710.8985874691,-0.0013212754830216364
815306.0847870306,-0.0013188912163125542
815690.5760408645,-0.0013173731615360544
816075.0672946983,-0.0013158721789611138
816367.1487970483,-0.0013147431777585446
816643.0337057293,-0.0013136855580903664
816869.3806234701,-0.0013128241326798302
817082.3725982019,-0.0013120186500861623
817441.3848008529,-0.00131067203872127
817705.2671766421,-0.0013096909961756039
817969.1495524313,-0.0013087172542152424
