shell_rho,shell_phi
645204.564233287,-0.004573713169908019
651316.9509038008,-0.004306799732623793
658917.9417982773,-0.003986245285207483
666518.9326927538,-0.003679556046093413
679802.3138676406,-0.0031797612277500342
683775.3367583274,-0.003039618055829456
687748.3596490143,-0.002903870944780867
693536.4368637527,-0.0027140226551319612
699324.514078491,-0.002533566861879228
706408.2732805857,-0.002325414879729712
719486.6254497189,-0.001977067987589935
727214.7689942018,-0.0017923995433259195
731678.7198433597,-0.0016926112812920193
736142.6706925175,-0.0015977030931246788
742523.6062125971,-0.0014702401089891261
746588.1529532277,-0.0013939109673148883
750652.6996938584,-0.0013212340558416903
756075.441973821,-0.0012297627157605
761247.2536811227,-0.0011481433333348173
765293.2784638384,-0.001087958833936992
767432.6119829526,-0.001057394581172133
769571.9455020668,-0.001027678862434461
772930.2111536401,-0.0009827033740969016
776794.1996774273,-0.0009334076559123737
780658.1882012145,-0.0008866436005560619
784235.32516272,-0.0008455247629518928
787540.004789087,-0.0008093284643480389
789555.5185625117,-0.0007880711433675144
791571.0323359363,-0.0007674183393449272
794084.2762352879,-0.0007424928202828825
799302.8818950098,-0.0006935693767046831
804399.4769649041,-0.0006493125605536888
808107.2188399476,-0.0006191922116400106
811814.9607149911,-0.000590739760469024
815209.609365349,-0.0005660932352092984
817881.7061945723,-0.0005476011698365864
820364.8008712932,-0.0005311108723798495
825482.4676000903,-0.0004991492231777779
830534.958688355,-0.00047013831159268643
834739.6135495539,-0.0004478139498293822
838944.2684107528,-0.0004270532295668113
843701.6911906626,-0.0004053492187615142
847983.8749471715,-0.0003873480201399214
851560.1676726857,-0.0003733709991342878
855136.4603981999,-0.00036031040670980486
859688.4172423548,-0.0003449477617199043
863012.0913430325,-0.0003345796828783255
866335.7654437103,-0.00032489403012415393
868699.420225043,-0.0003184049492347529
871063.0750063757,-0.00031223569716217625
872162.290065956,-0.00030947280902661543
873261.5051255362,-0.00030677590120595954
874423.8531417088,-0.00030399476637677354
877437.2644503303,-0.00029711468802890334
878895.1486701256,-0.0002939526297569161
880353.032889921,-0.0002908961295896661
881872.9771760567,-0.0002878195290082681
883837.1968097143,-0.00028400601058321665
885801.4164433719,-0.00028037066311361654
887594.29587133,-0.00027720351777452655
888673.5809469109,-0.0002753647565327707
889752.8660224918,-0.0002735759078838463
890807.7550602754,-0.0002718748999537496
893664.8420632217,-0.0002674968423950378
895751.4850986777,-0.0002645037207009057
896789.9682777496,-0.00026307619966242196
897828.4514568215,-0.000261688940468366
899681.4685147955,-0.000259311213167815
901261.1230457054,-0.0002573803000595298
902175.861903119,-0.0002563014482008121
903090.6007605327,-0.0002552507696666856
904287.9102494052,-0.0002539172321072456
905609.5002941646,-0.00025249887549208126
906867.2730077619,-0.0002511998482588098
908037.2750761133,-0.00025003476145450524
909207.2771444647,-0.0002489102631033027
910046.8292983068,-0.00024812775009319996
910886.381452149,-0.00024736514298855143
911329.3885910247,-0.0002469706182573239
911772.3957299003,-0.0002465814572554719
912362.2597989647,-0.0002460715073293337
913018.5781509844,-0.00024551497238397245
913387.0225193265,-0.0002452074868908072
913755.4668876687,-0.0002449035093854466
914273.5224311644,-0.00024448196144695965
915288.6795172391,-0.00024367542142054397
916243.3884826293,-0.00024293989176542204
917054.9084554258,-0.00024233169200359633
917686.0431274828,-0.00024186921117651545
918086.0357868583,-0.00024158077595994354
918486.0284462338,-0.0002412959038482454
918881.5663442645,-0.0002410176581740211
919277.1042422953,-0.00024074279704536166
919715.7265699274,-0.00024044189310163096
920312.1648767827,-0.00024003917850766841
920885.8031690775,-0.0002396587263353292
921180.5076133955,-0.00023946583639289693
921396.9492278075,-0.00023932526328643977
921613.3908422195,-0.00023918560544416284
922037.0922217196,-0.00023891483021163987
922363.9983092124,-0.0002387082460916559
922661.5099855809,-0.0002385219742968871
922889.3834549078,-0.00023838040712868296
923117.2569242347,-0.0002382397861105534
923462.712897687,-0.00023802838511079608
923735.2564556213,-0.00023786309497773097
924007.375736552,-0.00023769935493707129
924208.3650354468,-0.00023757923369955685
924409.3543343416,-0.00023745979925759013
924607.668015557,-0.0002373426203434687
924878.9462545123,-0.00023718338544418126
925150.2244934676,-0.00023702535430931396
925400.5828040548,-0.00023688056109837433
925762.6234665583,-0.00023667292936533678
926124.6641290617,-0.0002364673267602178
926275.5876659722,-0.00023638220521359778
926426.5112028826,-0.00023629742438667357
926619.158968727,-0.0002361896944617441
926811.8067345713,-0.0002360825064197804
926987.031628823,-0.00023598547663649687
927292.1369352124,-0.00023581756433311497
927454.9972417674,-0.00023572846653038845
927617.8575483223,-0.0002356397323542688
927788.2526317637,-0.00023554727697275852
927894.1638884092,-0.00023549000574245828
928000.0751450546,-0.0002354328828992846
928100.848311734,-0.0002353786678199559
928342.3881296621,-0.0002352492566573023
928442.8880548113,-0.00023519563087801004
928543.3879799604,-0.00023514213249853846
928638.6339359863,-0.00023509154745919515
928829.8050927117,-0.00023499035481899157
928916.3371434255,-0.0002349446975101054
929002.8691941393,-0.00023489913058876298
929087.3908009853,-0.00023485470890791238
929233.5618243158,-0.00023477808635477318
929379.7328476463,-0.00023470171432907061
929435.9897356097,-0.00023467238706056226
929468.2020732882,-0.00023465561086383514
929500.4144109666,-0.0002346388465725344
929547.9710792641,-0.00023461411829473318
929868.4884194032,-0.0002344481213948132
930189.0057595423,-0.00023428325148888696
930364.4026326071,-0.00023419349205368827
930539.799505672,-0.0002341040512683591
930710.3267968561,-0.0002340173928883524
930929.7897509602,-0.00023390629079431227
931149.2527050643,-0.0002337956545133329
931360.4251096989,-0.00023368962560377484
931585.3290313506,-0.00023357715091810928
931788.4428381359,-0.00023347596036658272
931920.9775033644,-0.0002334101251847785
932033.2820947116,-0.00023335445606059114
932145.5866860587,-0.00023329889252479732
932382.1430778366,-0.00023318219266544533
932485.469714492,-0.00023313135967634267
932588.7963511473,-0.00023308061060128797
932739.3526033732,-0.00023300681228508252
932877.1323842388,-0.00023293942723960048
933014.9121651043,-0.00023287218318818496
933202.1827386479,-0.0002327810059182484
933373.8453882829,-0.00023269764597250877
933522.5224540087,-0.00023262561232878065
933594.7480778566,-0.00023259067320176307
933666.9737017045,-0.00023255576885883192
933951.8797522341,-0.00023241841463794285
934128.2447731778,-0.00023233364644550331
934266.0376623898,-0.0002322675506138249
934403.8305516018,-0.00023220156870267831
934664.1344965731,-0.00023207722462011463
934765.6453223518,-0.0002320288383122298
934867.1561481305,-0.00023198050901347445
934978.0105417983,-0.00023192779525195713
935218.5800519207,-0.00023181362322392961
935453.1009865636,-0.0002317026078058345
935575.3646634606,-0.00023164484001717586
935689.1808144057,-0.0002315911285204067
935906.5725480489,-0.00023148870786518014
936118.3720759563,-0.00023138912959435627
936194.7715200157,-0.0002313532590142999
936271.170964075,-0.00023131741381459626
936343.4765958149,-0.00023128351243279936
936538.9657639328,-0.00023119196510087783
936729.8453004685,-0.0002311027276078288
936914.7233941007,-0.00023101643360679146
936978.5990838861,-0.00023098664961018793
937042.4747736716,-0.00023095688111144958
937069.7321993852,-0.00023094418279119512
937096.9896250988,-0.00023093148724907505
937124.9129003215,-0.00023091848444478728
937292.2420750507,-0.00023084062562936023
937456.2472407708,-0.00023076441120113806
937615.5127541787,-0.0002306904892922379
937770.155928622,-0.00023061879531853158
937920.3071995431,-0.00023054925957554604
937952.4486131084,-0.00023053438425196625
937984.5900266736,-0.0002305195122423699
938030.0261517446,-0.00023049849431516173
938050.298510141,-0.00023048911880170717
938061.2762941173,-0.0002304840423630701
938072.2540780937,-0.0002304789663038434
938182.0319178572,-0.00023042822637046702
938293.6026917498,-0.0002303766955581344
938404.8929810262,-0.00023032533137739672
938515.9124954329,-0.00023027412822906944
938626.6618123574,-0.0002302230848022012
938737.141541046,-0.00023017219983491755
938847.3522819688,-0.00023012147212852837
938957.2946280752,-0.00023007090054264135
939066.9691656487,-0.00023002048399078034
939103.1231177943,-0.00023000387117168392
939119.5244910831,-0.0002299963358205196
939135.9258643719,-0.00022998880116309822
939152.274346818,-0.00022998129149223755
939283.0171669016,-0.0002299212594075278
939411.5711002384,-0.00022986227456915268
939537.1155670964,-0.0002298047103922089
939659.7125647626,-0.00022974853514581668
939779.429384432,-0.0002296937149065206
939896.3319121787,-0.00022964021661469404
940010.4846046478,-0.0002295880080688007
940121.9505177177,-0.0002295370578968306
940230.7913334803,-0.00022948733552983304
940337.0673879207,-0.00022943881117633158
940440.8376963033,-0.0002293914557988744
940542.1599799476,-0.0002293452410909346
940641.0906917852,-0.00022930013945526083
940737.6850417632,-0.00022925612398310875
940831.9970213487,-0.00022921316843461844
940924.0794287222,-0.00022917124721954742
941013.983892192,-0.0002291303353794233
941101.7608937483,-0.00022909040857018709
941187.4597926321,-0.00022905144304533482
941271.1288479473,-0.00022901341563995686
941352.8152416842,-0.00022897630375501068
941432.5651002742,-0.00022894008534264713
941510.4235168992,-0.0002289047388915461
941528.3230015734,-0.0002288966146221103
941546.2224862477,-0.00022888849102592015
941558.4453100119,-0.0002288829441418441
941570.668133776,-0.0002288773975711868
941576.412200112,-0.00022887479109105148
941582.156266448,-0.00022887218468006668
941590.728445961,-0.00022886829512114287
941651.9343518929,-0.00022884052788944384
941666.1048925112,-0.0002288341002671118
941680.2754331294,-0.0002288276730631638
941687.9392485461,-0.000228824197229911
941690.1884153076,-0.00022882317717000508
941692.437582069,-0.00022882215712062337
941694.9223087376,-0.00022882103025158345
941719.7695754245,-0.00022880976226673634
941760.416794587,-0.00022879133192239427
941772.8760644594,-0.00022878568329926812
941785.3353343318,-0.0002287800349965764
941790.9888907708,-0.00022877747211105497
941796.6424472098,-0.00022877490929141127
941802.4265241647,-0.00022877228737351523
941841.0058664613,-0.00022875480114574307
941880.4631212634,-0.00022873692015999337
941887.7447856676,-0.0002287336206503885
941895.0264500718,-0.0002287303212491842
941932.5502263823,-0.0002287133205348848
941946.428388161,-0.00022870703355089755
941960.3065499397,-0.00022870074695890153
941973.1269533715,-0.00022869493986302377
941984.8378687669,-0.00022868963560974156
942030.2339779896,-0.00022866907687009422
942039.5834721794,-0.00022866484324137395
942048.9329663691,-0.00022866060978961404
942058.7192514861,-0.000228656178748352
942060.3966209098,-0.00022865541928725774
942061.236900424,-0.00022865503883677253
942061.9970071202,-0.00022865469468708985
942068.4051973564,-0.00022865179332941997
942069.7906885172,-0.00022865116604847075
942070.5531330142,-0.0002286508208534692
942071.3155775113,-0.000228650475659638
942078.9400224822,-0.00022864702378568721
942134.574575903,-0.0002286218394635635
942146.0529899828,-0.00022861664425677508
942157.5314040625,-0.00022861144931456137
942161.9520435017,-0.00022860944867610309
942164.7978161821,-0.00022860816079216516
942167.6435888626,-0.0002286068729244802
942170.8455623615,-0.00022860542387588434
942175.5074412908,-0.00022860331418591816
942180.16932022,-0.00022860120453954536
942182.7120451723,-0.00022860005389515505
942184.4939662061,-0.00022859924754061998
942186.2758872398,-0.000228598441192451
942188.6901265313,-0.00022859734872016977
942212.8325194458,-0.0002285864246399695
942371.0074799447,-0.00022851488166197894
942526.953332276,-0.00022844439590587678
942680.1263997396,-0.0002283752106784156
942708.650243599,-0.00022836233219161123
942726.5751786126,-0.00022835423993073603
942742.8121774769,-0.00022834691024556467
942880.995204862,-0.0002282845530727681
943017.8451180786,-0.0002282228348940287
943153.4615808235,-0.00022816170965399784
943175.973511548,-0.00022815156657330428
943198.4854422725,-0.00022814142449641999
943346.8459628817,-0.00022807461019137712
943492.8486924854,-0.00022800890020547681
943635.7371436236,-0.00022794463257496325
943656.6998567076,-0.00022793520746049243
943663.4141396069,-0.0002279321888127553
943670.1284225062,-0.00022792917025385082
943681.2509752258,-0.00022792417005222388
943792.4765024225,-0.000227874181435599
943840.7052004287,-0.0002278525133505028
943861.6393869956,-0.0002278431095082713
943882.5735735624,-0.00022783370652767698
943903.5074741335,-0.0002278243045369679
944021.3160327103,-0.00022777140952750578
944057.3528771381,-0.00022775523474299395
944093.3897215659,-0.0002277390625065293
944211.866708659,-0.00022768591159633662
944329.5733251981,-0.00022763313351858714
944362.8792260872,-0.00022761820451867713
944396.1851269763,-0.00022760327768857759
944413.2242153884,-0.00022759564205538347
944430.2633038005,-0.00022758800698981116
944446.3054614146,-0.000227580819158853
944581.5599017931,-0.00022752023719821757
944714.6981398602,-0.0002274606379854122
944845.0077090178,-0.00022740233849094472
944972.5420329403,-0.00022734531264013353
945094.6786581277,-0.00022729072998267793
945216.815283315,-0.00022723617631230242
945290.5513983567,-0.00022720325528308112
945364.2875133983,-0.00022717034480099866
945477.8153290853,-0.00022711969477967335
945591.3431447723,-0.00022706906972053603
945667.0334594158,-0.00022703533126234928
945742.7237740592,-0.00022700160388223025
945820.9377063407,-0.00022696676361636545
945927.4219956044,-0.00022691934935637728
946031.801173743,-0.00022687289367311826
946048.1510226979,-0.0002268656188049819
946061.1128759471,-0.00022685985179230224
946072.8349517828,-0.00022685463666261327
946161.0949951995,-0.00022681537843508842
946248.6428272785,-0.00022677645182066146
946335.6737627207,-0.00022673776965436741
946343.9786002717,-0.00022673407920983121
946352.2834378228,-0.00022673038889791424
946435.3318133337,-0.00022669349307087537
946532.8392349526,-0.00022665019044986446
946628.3404493813,-0.00022660779647179242
946721.7708246516,-0.00022656633869363522
946807.0874938878,-0.00022652849582159692
946896.6603429588,-0.0002264887800939714
946920.4070655677,-0.000226478253605175
946944.1537881766,-0.00022646772819579086
946961.8099562896,-0.00022645990304075194
946976.8724713688,-0.0002264532278556471
946984.1879709412,-0.00022644998603617007
946991.2444968037,-0.00022644685907634573
947061.8097554292,-0.00022641559471669266
947136.698191231,-0.00022638242536129874
947211.0176757579,-0.00022634951859939713
947240.8008442216,-0.00022633633433726008
947269.8573125962,-0.0002263234733992831
947352.1580455083,-0.0002262870542976239
