outside_rho,outside_phi
915363.1237618541,0.0002385467246842538
915363.172437137,0.00023854670084684542
915363.6591899656,0.00023854646247305195
915368.5267182514,0.00023854407876415098
915417.2020011097,0.00023852024457813402
915903.9548296928,0.0002382821926288682
920771.483115524,0.0002359302813386665
969446.7659738362,0.00021493680438124043
1269906.077049693,0.0001407181913949411
1656484.1656708322,9.835319210370985e-05
2340781.0907292366,6.449289039409743e-05
3451615.079400175,4.148060257390831e-05
5342888.576058572,2.5839289493153863e-05
8622474.68476231,1.5635084374654065e-05
10000000.0,1.3407774024959745e-05
