outside_rho,outside_phi
882341.9994788441,-0.00021933851988652125
882342.0464695834,-0.00021933849777084914
882342.5163769764,-0.00021933827661440068
882347.2154509062,-0.0002193360650771881
882394.2061902042,-0.00021931395243190852
882864.1135831848,-0.00021909309829377434
887563.1875129901,-0.00021691142372735366
934553.9268110432,-0.00019746273196875706
1226903.4836067455,-0.00012868053682313455
1605042.8086141665,-8.961711792837795e-05
2279859.39665019,-5.8480346875064536e-05
3382345.1658978937,-3.745240412091481e-05
5273745.933195979,-2.3247450041102857e-05
8579012.950877132,-1.4048027969919327e-05
10000000.0,-1.2018656619359212e-05
