shell_rho,shell_phi
630681.8043547147,-0.002889186562356071
633930.5398576487,-0.0027871295098748626
637135.1194143449,-0.002688201125040707
640339.6989710411,-0.0025911316204103255
644018.1067570198,-0.002482146643273312
648394.572735919,-0.002356065911435685
652771.0387148183,-0.002234072074378945
658272.4285551759,-0.002086756249726601
663546.8049308892,-0.0019520172055401898
668375.6685419922,-0.0018343406310379407
678656.4796720252,-0.0016020287042497457
683702.0043217452,-0.0014970334342865822
687486.9001521841,-0.0014221065682978775
690684.0561045944,-0.0013613374039689891
693881.2120570047,-0.0013028430545761803
698082.133378972,-0.0012293791689976519
702283.0547009392,-0.0011596840857944221
707766.1159709431,-0.0010742168419056177
717348.2559582652,-0.0009391072383064625
721848.5826341185,-0.000881581575449944
726348.9093099718,-0.0008276401522448152
730692.9174076163,-0.0007788296432750025
734640.2700926557,-0.0007371347899417917
738611.5060361966,-0.0006976358243022321
742582.7419797375,-0.000660490070726
744758.11145989,-0.0006411034180659245
746933.4809400425,-0.000622376055762127
749282.2673896543,-0.0006028773320129945
753680.6062897133,-0.0005683108380060461
758078.9451897723,-0.0005361736335202648
762051.7698229848,-0.0005091289819965768
766024.5944561973,-0.0004838741066066707
768409.5610349817,-0.00046953655877957496
770723.4396801017,-0.00045619562451002275
775062.0422333028,-0.0004326352180739827
778646.5422372876,-0.00041453924077791584
782231.0422412724,-0.00039762164243545734
785111.7077927066,-0.0003848429006726476
787199.9714849787,-0.0003760174385723769
789288.2351772508,-0.00036754875684580823
793818.5052695675,-0.00035035612833298277
796484.7817981648,-0.0003409608445443674
799151.0583267622,-0.000332077707645716
801185.3111399118,-0.0003256330791192917
803219.5639530614,-0.000319467551773674
805130.2727355363,-0.00031392355162838535
807031.0321447068,-0.00030863933799601495
810176.6420239855,-0.00030038355171372753
813322.2519032642,-0.0002927135304481633
814331.662905513,-0.000290371950130355
815341.0739077617,-0.0002880870240746264
816484.1866621822,-0.00028556675298187993
818548.2790203813,-0.0002811931157996694
819818.1073361018,-0.000278613118693069
821087.9356518224,-0.00027611538106390836
822642.6628489901,-0.00027316681650347023
824401.4412320702,-0.0002699730592128707
825486.7772580865,-0.0002680754851036609
826572.1132841028,-0.00026623260627030624
828054.0641403485,-0.0002638027640641233
829207.2096188325,-0.000261979611031171
830360.3550973164,-0.00026021426152859786
832386.3896686968,-0.00025724889824586225
833299.2028988216,-0.0002559681890951038
834212.0161289463,-0.00025472099289263665
835296.0651816939,-0.0002532825359513582
836447.5351260577,-0.0002518043273935049
837599.0050704215,-0.0002503761352176742
838672.750740051,-0.00024908833308151654
839746.4964096806,-0.0002478419677376233
840851.9042792136,-0.0002466010947414539
841957.3121487467,-0.00024540200840793644
843188.2962801526,-0.00024411455307047215
843948.9279610597,-0.00024334359824443365
844709.5596419668,-0.00024259098000593328
845671.7965632783,-0.00024166459017655717
846557.2293888702,-0.00024083692843376837
847186.4710438866,-0.00024026285515129836
847786.7933470435,-0.000239725877986248
848506.3329729049,-0.0002390957857766449
849165.3451348605,-0.00023853137803068314
849764.5659370283,-0.00023802848970382666
850470.2601703444,-0.00023744857837545676
851345.5057949275,-0.00023674742894119521
852147.7629013998,-0.00023612187303009326
852840.4971526949,-0.00023559452666048787
853363.7608414389,-0.00023520386549969675
853790.7841754821,-0.00023488984825488225
854184.7433581708,-0.00023460389712715816
854513.4225652105,-0.00023436804104902463
854842.1017722501,-0.00023413461615645083
855183.3328466204,-0.0002338948126446318
855524.5639209906,-0.00023365755419175427
855862.9655452108,-0.00023342473816219593
856170.5457814622,-0.00023321523280221926
856449.2902983775,-0.00023302707564848204
856840.6033837679,-0.00023276562827019917
857231.9164691583,-0.00023250727370246734
857631.5002555079,-0.0002322465857287026
857854.7791945386,-0.0002321022702938581
858078.0581335693,-0.00023195890892004396
858283.8580630549,-0.00023182760499965887
858573.7269805521,-0.00023164400303585402
858863.5958980493,-0.00023146194368054454
859110.7554527556,-0.00023130790719826067
859357.9150074619,-0.00023115495583933893
859648.0118699726,-0.00023097679449825777
859805.3747023494,-0.00023088075668446648
859951.1080180915,-0.00023079219121881914
860231.6482602779,-0.00023062270191643905
860512.1885024643,-0.0002304545089355921
860772.4511396611,-0.00023029960921069225
861048.6734799314,-0.00023013638270490407
861301.3688786183,-0.00022998809426647294
861525.531492787,-0.00022985736115200815
861749.6941069555,-0.0002297273762357354
861904.5474124557,-0.00022963801112354113
862059.4007179558,-0.00022954899150121137
862208.1133254914,-0.00022946382268487726
862278.832784451,-0.0002294234301231604
862349.5522434105,-0.00022938310719159444
862428.3882258099,-0.00022933823787337502
862628.932630401,-0.00022922448145414374
862740.1719634725,-0.0002291616163372161
862837.6696101615,-0.00022910665261917013
862935.1672568504,-0.00022905181418040113
863104.3038079563,-0.00022895697524360811
863187.3867493526,-0.0002289105233391298
863232.9100212995,-0.000228885108391258
863278.4332932464,-0.00022885971964636207
863339.3082945449,-0.0002288258098386252
863471.1252567519,-0.00022875254099955476
863602.9422189589,-0.00022867948659963772
863636.339812878,-0.00022866101099092292
863669.7374067972,-0.00022864254891356603
863704.8106839532,-0.0002286231750319803
864055.5434555131,-0.00022843023952147287
864442.2187292817,-0.0002282191707187663
864558.7706454057,-0.0002281558750414763
864675.3225615298,-0.00022809272576619147
864845.3228104368,-0.0002280008753035376
865015.3230593438,-0.0002279093244227129
865265.4984446912,-0.00022777512664312716
865342.4283310608,-0.00022773398427526135
865419.3582174304,-0.00022769289910049063
865505.9416839884,-0.00022764672595024826
865643.3847403941,-0.0002275735753508694
865780.8277967997,-0.00022750059941511466
865922.8709973993,-0.00022742536077545247
866051.3581231496,-0.00022735745680897056
866196.4768928711,-0.00022728093561555224
866341.5956625926,-0.00022720459339510695
866503.4198718321,-0.00022711966910941853
866633.4426458844,-0.00022705158786071717
866719.2802726844,-0.00022700671602403057
866805.1178994845,-0.0002269619017912085
866912.3219178132,-0.00022690601223451348
867173.2693206008,-0.00022677033109777496
867275.364226894,-0.00022671738183863212
867377.4591331872,-0.00022666450687007167
867621.2513081675,-0.00022653853981759162
867858.8731538086,-0.00022641614533278545
868078.8327615313,-0.0002263031730194592
868195.800137071,-0.00022624322092263755
868263.4610728269,-0.00022620857907814813
868331.1220085827,-0.00022617396469997358
868423.5517280194,-0.00022612672275190455
868631.3207394677,-0.0002260207100603751
868833.9040228018,-0.0002259175768562969
868972.2020817972,-0.0002258472987469747
869098.4434727188,-0.000225783235612882
869284.6539863882,-0.00022568888974564525
869465.7186501779,-0.00022559731692395931
869560.4293863312,-0.00022554948062150518
