outside_rho,outside_phi
951090.028328413,-0.00022464650065121474
951090.07729327,-0.00022464647933198733
951090.5669418401,-0.0002246462661399582
951095.4634275408,-0.00022464413424416036
951144.4282845482,-0.00022462281773521188
951634.076854622,-0.00022440989724087978
956530.5625553597,-0.0002223048480442388
1005495.4195627365,-0.00020340193365875984
1329276.060233355,-0.0001319687780951609
1743863.363956971,-9.181480794981729e-05
2481341.3504755925,-5.981691585897194e-05
3682012.046069664,-3.8204026919201774e-05
5735732.8620349,-2.3582754652695293e-05
9315135.824095793,-1.4092198714586674e-05
10000000.0,-1.307506891822283e-05
