shell_rho,shell_phi
578498.149047504,-0.0047390975998305735
584812.7183995892,-0.00451269646353111
592580.0408148166,-0.004242054860747131
599203.9580438231,-0.00401850260416394
605827.8752728297,-0.003801937514115792
612074.0722444502,-0.0036043367387885127
622803.6221475949,-0.003280329548127488
633533.1720507396,-0.0029762313135377177
643346.3836329454,-0.002715709467800638
651827.3551668146,-0.002504074667564515
660308.3267006839,-0.0023048431685772893
678832.4800413927,-0.0019117203825433152
684881.2023219444,-0.0017954336211903565
689307.136557689,-0.0017139785455810197
693733.0707934337,-0.001635528907002458
701981.0535089144,-0.0014971430751911244
707248.2860315054,-0.001413930285002716
712515.5185540965,-0.001334607964126626
717942.2784685806,-0.0012568316856852429
726215.6335304009,-0.0011456844759927438
734488.9885922213,-0.0010431006111632328
743968.1530204474,-0.0009354957973686478
748774.8684156681,-0.000884772370334078
753545.1380947932,-0.0008368714619609141
760238.7440556046,-0.0007735859783594651
766932.3500164159,-0.0007146743979496206
775041.1834212127,-0.0006488332642603631
779618.7144751055,-0.0006141969206775287
784196.2455289983,-0.0005812985388965177
788936.1230310082,-0.00054899145389314
795234.0895020011,-0.0005087050957558244
800717.9189467141,-0.0004759596626536847
806004.689399872,-0.00044634034071581546
813006.7013687748,-0.00040989513949596563
820065.6779757368,-0.0003761690194642241
827124.6545826988,-0.0003452662843873467
835526.7427692012,-0.00031189487817849553
842168.047732175,-0.00028794820109341243
848809.3526951488,-0.0002659913074172422
852792.7834173026,-0.0002537194863679299
856648.7092839724,-0.0002424492886532573
862034.5866401518,-0.00022766322665973863
867420.4639963312,-0.00021393365342337235
872926.2883638048,-0.00020092710151851419
878839.2343298674,-0.00018804744682508092
883081.7533702949,-0.00017946165684628289
887324.2724107224,-0.00017139460849694007
892724.1407021325,-0.0001618390549700581
898705.9538736709,-0.00015213161345127945
904687.7670452093,-0.00014328812130832543
910287.2107552323,-0.00013574204548562352
915886.6544652552,-0.00012885871738023194
921527.1078322352,-0.0001225527107792652
926376.8265473403,-0.0001176037545545649
929573.8775663142,-0.00011456790385464665
932479.3242281526,-0.00011195847710298632
936210.4688979817,-0.00010880820489114057
939189.8709186608,-0.00010644851671148135
940939.1869124889,-0.00010512534740899627
942688.502906317,-0.00010384704336834011
945569.9316046964,-0.00010183669169216716
947974.242891324,-0.00010024726795156686
949423.112659541,-9.932703384025398e-05
950871.9824277579,-9.843441134408575e-05
952466.860290751,-9.748313286915714e-05
956281.1171480608,-9.533706295546506e-05
959309.4830869526,-9.37577916830122e-05
960866.8905259377,-9.298690054341449e-05
961871.430336321,-9.25041517554293e-05
962832.4052701659,-9.20527844251732e-05
964540.6556511365,-9.12751784186188e-05
966248.9060321072,-9.052855751853101e-05
968006.9745578319,-8.979166044060751e-05
969468.7941039716,-8.920263830579459e-05
970930.6136501112,-8.863459785949109e-05
972713.3057967395,-8.79695337905892e-05
973851.2626345314,-8.756050237368434e-05
974989.2194723232,-8.716326850284014e-05
976926.6383590238,-8.6513424765397e-05
978108.2721946182,-8.613302821477956e-05
979289.9060302126,-8.576438493550886e-05
979984.1488896982,-8.555316898472057e-05
980678.3917491838,-8.534586139267642e-05
981497.928008279,-8.510609432474742e-05
982573.2531131273,-8.479948319386967e-05
983539.0963078544,-8.453166266241486e-05
984266.145885312,-8.433469014731151e-05
984993.1954627696,-8.414162412342177e-05
