core_rho,core_phi
0.0001,0.09937321
0.00014117453512820747,0.09937321
0.0005529198864102821,0.09937321
0.004670373399231028,0.09937320999999975
0.045844908527438485,0.09937320999997606
0.45759025980951307,0.09937320999761494
3.4329036967464126,0.09937320986576383
13.397280802020946,0.09937320795553517
36.16715344602483,0.09937319510038672
77.96071520013422,0.09937314076941026
144.81926132046812,0.09937297110929369
242.4116621400677,0.0993725406486923
376.00753482277526,0.09937159957210905
550.5087748858039,0.09936975793620594
770.4947268753118,0.09936644771459606
1040.265864668671,0.09936088323005549
1363.8824365507694,0.09935202030438413
1745.1971099975278,0.09933851431927769
2187.883258889369,0.09931867722527114
2695.459932411387,0.09929043341141296
3271.316961072053,0.09925127403157152
3918.7435818728777,0.09919820894457909
4640.966902534423,0.09912771449607415
5441.210749669538,0.09903567358976882
6322.789342571038,0.09891730156355188
7289.260978861248,0.09876704574647303
8344.67894848744,0.09857843714112974
9494.002976820399,0.09834385504486978
10743.782504944817,0.09805413177050362
12103.332224110836,0.0976978529180597
12821.946018950142,0.09749218295962069
13540.559813789449,0.09727448584807438
14281.179369590058,0.0970375176592284
16040.864198954267,0.0964230840803405
18014.511300822076,0.09564768932160549
19012.383715369848,0.09522090174881104
20010.25612991762,0.09477077538668437
21964.867345226507,0.09382153783612386
23810.08440396341,0.09284367170143026
25100.02560193923,0.09211320338813553
26389.966799915048,0.09134445347157136
28433.96764624299,0.090048719819128
29090.598620789082,0.0896124925165765
29490.225465156534,0.0893422953278286
29889.852309523987,0.08906855410501793
31797.962178378948,0.08771321789596255
32955.03939947283,0.08685307617931724
34112.11662056671,0.08596468197085419
35199.022723625705,0.0851049406416918
36110.941804703274,0.0843651418593775
36627.26473066094,0.08393892869389982
37143.58765661861,0.08350748165226063
37613.69639483557,0.08311015340648606
39635.88630277437,0.08135338990997006
40227.89553040466,0.08082486467437941
40819.90475803495,0.0802900975091912
41498.41739317749,0.07966966311221058
43628.4268894969,0.07767168479734983
45843.19265721315,0.07551809438119673
47287.991414003554,0.07407449536469435
48659.42134746737,0.07267798239477301
49910.77344807677,0.07138293863724766
50900.23117005911,0.07034577406923648
51889.68889204145,0.06929769316776323
53177.54691211767,0.06791824539249672
54465.404932193895,0.06652282001734339
55645.54699892111,0.06523129838175433
56924.3428114738,0.0638192939137198
58203.138624026484,0.062395613564209855
59589.083221804234,0.06084104585515432
62022.53822706816,0.0580873745101643
63542.66350984055,0.056354918190730206
64545.71028064149,0.055207842275147724
65492.744859417166,0.05412258130062873
67405.18490173404,0.05192637530689027
68378.3690292608,0.05080740281621317
69351.55315678754,0.04968814635332426
70626.05885146104,0.04822271107620469
72085.8341914291,0.04654600949767951
73545.60953139715,0.04487262855161142
74925.04498152903,0.043295695778089435
78684.80642023185,0.03902834506490666
82372.50897411727,0.034902603639746246
84112.3714878296,0.03298195351561303
85852.23400154193,0.031080314105524205
87618.37328057278,0.029171077106867498
91561.24170608385,0.024993532018651007
95503.19304456344,0.020946972735281025
99708.81181643128,0.01678890006749159
103963.72875302685,0.012764048440298822
108395.76648290305,0.008780418789023098
112981.68803574493,0.004896133770683938
117694.93587650136,0.001168359240275564
122509.10496870473,-0.0023513985012060933
127406.19465534932,-0.0056237429941024845
132377.74009679994,-0.008620326072418619
137418.4093104594,-0.011318150556822112
142496.85264211442,-0.013686445130937258
147652.04026344715,-0.01573109182536586
149986.53833228917,-0.016538456269366796
152321.0364011312,-0.01727249433496475
155151.89844404583,-0.018065074050644832
160519.04166060407,-0.019278907733317703
165722.85700786783,-0.020104084039489677
170939.05013652807,-0.020597363785724777
176149.07715526185,-0.020772763491233776
181302.66523121885,-0.02065284550668408
186456.25330717585,-0.020261666813869813
191620.67116852078,-0.01961993724464479
196767.81359918727,-0.018755352472583836
201901.45548462492,-0.017693930817754045
207027.07114460063,-0.01646096783602233
212152.601098649,-0.015080421871068256
216923.46520452722,-0.01368511379400558
222081.2426849176,-0.012081040109212566
227263.78403434576,-0.010393894704571709
232493.83970896943,-0.008639707701056171
237786.28852565726,-0.006836563042250917
243157.1667309666,-0.005002225622708247
246165.0866744227,-0.003981653857095063
249173.0066178788,-0.0029708279603545586
252975.0791512373,-0.001712776953516103
258727.81158281208,0.00013451108490381003
264565.62305105705,0.0019199646964705459
268632.0412631025,0.0030997382547131884
272698.45947514795,0.00422002450436433
277611.9852524401,0.005486728297700368
284125.6992893553,0.0070064204648265255
290815.7998064915,0.008363794520560552
297046.64448685216,0.009432604514196552
304265.9728598161,0.010428016512668154
310017.46648997924,0.011032492878495778
315229.8181348052,0.011436730219119971
323084.63219944516,0.011793667137354637
330990.2158913299,0.01185934368202401
338151.8260494538,0.011680891035974715
343032.64250269096,0.01143908963092182
347913.4589559281,0.011107198802353661
353437.5839385615,0.010631513672163972
361430.0277915843,0.009775891377369382
365215.76924508205,0.009309833074838122
369001.5106985798,0.008809611263596796
376981.6607425716,0.007659453223426034
381038.881890904,0.0070334261798864145
385096.1030392364,0.006385328075274979
389539.30327191175,0.005655270301649072
397656.6553138434,0.004284003766331181
405813.75104028045,0.0028837798804807304
415357.0230093815,0.0012561000729689772
421513.2341765662,0.000230486762777067
427669.4453437509,-0.0007643737810599832
433197.7861201486,-0.0016245089865835958
438726.12689654634,-0.0024475606188855215
445171.4136868178,-0.0033541727444533933
450005.77850369137,-0.003993285187318128
454840.14332056494,-0.004594997606855927
462273.2306406574,-0.005443520142664851
469706.3179607499,-0.006195606782914114
478352.6603696015,-0.0069463039361537145
484662.12851558294,-0.007409589893617224
490669.7191502097,-0.007785235647755205
