CE,RE,RJ,MA,MB,PC,PS,AL,MI
280000000000000.12,1941783.9231448828,1941783.9231448271,3.0627633331274314e+32,3.0856757498340802e+32,1.2978775063414857e-07,1.0696412933714232e-07,-5.875579745615329e-07,7.343230129073511e+43
284815896722416.1,1887935.5849374807,1887935.5849374263,3.140383353125469e+32,3.1653513036205114e+32,1.306765909000935e-07,1.0738252264068835e-07,-5.902398737169615e-07,7.52183029771291e+43
289714625092121.4,1837793.6504317843,1837793.6504317308,3.221626639479278e+32,3.248698495779503e+32,1.3160865015411733e-07,1.078224398764983e-07,-5.930485778216666e-07,7.71352129638784e+43
294697609782895.6,1790563.006399719,1790563.0063996667,3.3061203293904224e+32,3.3354846584558894e+32,1.325817625915855e-07,1.0828601172854616e-07,-5.959778213016506e-07,7.916951579691612e+43
299766299972385.9,1746062.8057414964,1746062.805741445,3.3951228742268684e+32,3.427054964660696e+32,1.3360821745636603e-07,1.0877760123118608e-07,-5.9906157604047e-07,8.137001539369259e+43
304922169763556.56,1704821.9614595827,1704821.9614595317,3.487762937689264e+32,3.522296473374332e+32,1.3468133569559705e-07,1.0929205491418656e-07,-6.022808864056599e-07,8.370760531972122e+43
310166718613400.44,1666601.641917339,1666601.6419172888,3.584296564093117e+32,3.621525992293735e+32,1.3580603495212118e-07,1.0983074779461375e-07,-6.056520168053204e-07,8.618298887913412e+43
315501471769016.3,1630678.6923830984,1630678.6923830488,3.685598679021452e+32,3.726101445931085e+32,1.3698876317736788e-07,1.1040028737367571e-07,-6.091873508403028e-07,8.885438651122154e+43
320927980711194.25,1597137.2204689707,1597137.2204689216,3.790771829568845e+32,3.834518850188197e+32,1.382259663977033e-07,1.1099748571117892e-07,-6.128818809989671e-07,9.166801235775808e+43
326447823605617.94,1565753.288924227,1565753.288924178,3.900799425648539e+32,3.948017884102982e+32,1.3952868656719698e-07,1.116271733945569e-07,-6.167658830017795e-07,9.466591793750079e+43
332062605761839.9,1536371.0103914354,1536371.010391387,4.0152741118127584e+32,4.0662096560703184e+32,1.4089454286262264e-07,1.1228918732772426e-07,-6.208319982315003e-07,9.7837369814203e+43
337773960100143.3,1508877.3359266967,1508877.3359266487,4.134367898604524e+32,4.189239273675914e+32,1.4232732062660572e-07,1.1298525745808566e-07,-6.250909236402497e-07,1.011919832201399e+44
343583547626442.44,1483131.2213376504,1483131.2213376025,4.258812688578807e+32,4.318006753614475e+32,1.4383748019737126e-07,1.137197628295469e-07,-6.295721118545484e-07,1.0475833108320957e+44
349493057915336.2,1459082.5852833774,1459082.5852833297,4.388437130547223e+32,4.4522389778782135e+32,1.4542439009763588e-07,1.1449282497306035e-07,-6.342722537568871e-07,1.0854078041151929e+44
355504209601484.8,1436534.2975115522,1436534.2975115045,4.522989658675814e+32,4.591623458989691e+32,1.4709019655299472e-07,1.1530607667681797e-07,-6.391988763595938e-07,1.1252392787736655e+44
361618750879429.4,1415359.720227522,1415359.7202274743,4.662851149151111e+32,4.736722072169463e+32,1.488420467771084e-07,1.1616335312101748e-07,-6.443717893590824e-07,1.1672771956804427e+44
367838460012016.56,1395696.659580576,1395696.659580528,4.808600459619629e+32,4.888148685428255e+32,1.506884954528943e-07,1.1706608483801635e-07,-6.498131460674081e-07,1.2118454983055138e+44
374165145847553.75,1377152.0117112477,1377152.0117111998,4.959944384388085e+32,5.045474694195816e+32,1.5263239266430026e-07,1.1801916454509441e-07,-6.555332070964621e-07,1.2587676470613098e+44
380600648345873.56,1359912.3452016893,1359912.345201641,5.117426326072944e+32,5.209477358162051e+32,1.5468278475657633e-07,1.1902382922279555e-07,-6.615554230818636e-07,1.3083819371019321e+44
387146839113437.3,1343624.1048329074,1343624.104832859,5.280518882745207e+32,5.379346125078753e+32,1.5683870251566802e-07,1.2008408205565548e-07,-6.678765964698385e-07,1.3605198476382235e+44
393805621947652.06,1328504.0102182801,1328504.0102182312,5.4498512201651645e+32,5.555984467505216e+32,1.5911296452627306e-07,1.212014714497153e-07,-6.745326384680862e-07,1.4154640980194553e+44
400578933390533.06,1314316.1586881145,1314316.1586880654,5.625470353952343e+32,5.739350189903109e+32,1.615125616682418e-07,1.223820317319006e-07,-6.815431657180545e-07,1.4732703458478825e+44
