CE,RE,RJ,MA,MB,PC,PS,AL,MI
280000000000000.12,1941861.3748083254,1941861.3748082565,3.0627684064912863e+32,3.0856479915531993e+32,1.3751798258258986e-07,1.08745818295863e-07,-7.379158757651663e-07,7.343300838660897e+43
284815896722416.1,1887680.0887779638,1887680.088777896,3.1403723901856048e+32,3.1652921391720852e+32,1.3869532995122892e-07,1.0928641887077971e-07,-7.423580896071328e-07,7.521681295311806e+43
289714625092121.4,1837142.4376017225,1837142.437601656,3.2215868356053584e+32,3.2486867784309144e+32,1.399333819877676e-07,1.0985688188689067e-07,-7.470229836698992e-07,7.713192291204546e+43
294697609782895.6,1790125.675164993,1790125.6751649273,3.30625486801966e+32,3.335677239143027e+32,1.4123132469131636e-07,1.1045691274248597e-07,-7.519068876708074e-07,7.917670564569349e+43
299766299972385.9,1746023.7706689127,1746023.7706688482,3.395169657859076e+32,3.427086774857911e+32,1.426031744300057e-07,1.110930744597649e-07,-7.57061858468563e-07,8.137287158651055e+43
304922169763556.56,1704939.0002368658,1704939.0002368018,3.4878312986296406e+32,3.522409883495981e+32,1.4404322826899214e-07,1.117627996940056e-07,-7.624656565573523e-07,8.371099245323842e+43
310166718613400.44,1666536.8678159188,1666536.8678158554,3.58462107899645e+32,3.6220465536598336e+32,1.4555970130300808e-07,1.124699802724996e-07,-7.681484156779809e-07,8.620336393666038e+43
315501471769016.3,1630652.113609842,1630652.1136097794,3.68560608370189e+32,3.726075591658042e+32,1.471562430887761e-07,1.132163683533816e-07,-7.741227791567022e-07,8.885480647047013e+43
320927980711194.25,1597153.709321803,1597153.7093217408,3.7907759435332125e+32,3.834495833622814e+32,1.488355240097356e-07,1.140032416507922e-07,-7.803978872173406e-07,9.166817133676031e+43
326447823605617.94,1565725.4647420251,1565725.4647419632,3.900770413686737e+32,3.9479775601327555e+32,1.5061095420458844e-07,1.1483696300340028e-07,-7.870228623117285e-07,9.46641754165998e+43
332062605761839.9,1536355.1707913799,1536355.1707913182,4.0152981773443334e+32,4.066233081296877e+32,1.524815351696803e-07,1.1571711897771627e-07,-7.939929646951385e-07,9.783880331948268e+43
337773960100143.3,1508900.6895449904,1508900.6895449287,4.134487739077004e+32,4.1894070188775455e+32,1.5445325742145976e-07,1.1664655480222167e-07,-8.013293675808952e-07,1.0119943521037873e+44
343583547626442.44,1483130.6628783464,1483130.662878285,4.258979348582305e+32,4.318175217564207e+32,1.5654132514479098e-07,1.1763248618247184e-07,-8.090874835065047e-07,1.0476843689990896e+44
349493057915336.2,1459038.2164653405,1459038.2164652788,4.388436123340134e+32,4.452203840361415e+32,1.5874515092869415e-07,1.1867466884957939e-07,-8.172637675960296e-07,1.0854085873863096e+44
355504209601484.8,1436507.025176725,1436507.025176663,4.523018160394316e+32,4.591676416185214e+32,1.6107307052077607e-07,1.197770605705225e-07,-8.258878026831998e-07,1.1252586129409914e+44
361618750879429.4,1415417.0170640873,1415417.0170640252,4.662980127969387e+32,4.7368711242409936e+32,1.6353574273100246e-07,1.2094469865879106e-07,-8.34997411032574e-07,1.1673582022380658e+44
367838460012016.56,1395659.9129920658,1395659.9129920034,4.8086050756541885e+32,4.888101139206108e+32,1.6614534064403502e-07,1.2218335277618183e-07,-8.446359823637463e-07,1.2118448797491619e+44
374165145847553.75,1377158.333564082,1377158.3335640188,4.960017481567721e+32,5.045515085956681e+32,1.689120739644444e-07,1.234979071488872e-07,-8.548396528350033e-07,1.2588126071411027e+44
380600648345873.56,1359830.5809733958,1359830.5809733323,5.117439918010532e+32,5.20936743892236e+32,1.718489715332297e-07,1.248945413287987e-07,-8.656545870430747e-07,1.3083906503745063e+44
387146839113437.3,1343652.4238161542,1343652.4238160898,5.2805414855030235e+32,5.379335685091202e+32,1.7495987393389193e-07,1.263750445457836e-07,-8.770926871001165e-07,1.3605330174270378e+44
393805621947652.06,1328513.6488633812,1328513.648863316,5.449856659166514e+32,5.555999389263549e+32,1.7826616655096098e-07,1.279495105455992e-07,-8.892301508836654e-07,1.4154706730133736e+44
400578933390533.06,1314353.0955575586,1314353.0955574922,5.6255198718022485e+32,5.7395255074450026e+32,1.8178315959499753e-07,1.2962521389521634e-07,-9.021209327660405e-07,1.4733125480966735e+44
407468743291905.8,1301121.892897572,1301121.8928975044,5.807551720078091e+32,5.92996181618931e+32,1.8552553717935854e-07,1.3140907772473518e-07,-9.158161092685431e-07,1.5341336099981584e+44
414477055382284.3,1288738.1549655243,1288738.1549654556,5.996485314628869e+32,6.127895454799744e+32,1.8952058550903734e-07,1.3331404921193306e-07,-9.304126904990035e-07,1.5981830442222614e+44
421605907855613.56,1277178.1615258977,1277178.1615258276,6.192082861285191e+32,6.333110349809713e+32,1.937816974746696e-07,1.3534642358951368e-07,-9.459563995548452e-07,1.6654564124810275e+44
428857373962017.4,1266447.3506206046,1266447.3506205326,6.393375192008739e+32,6.544618620987097e+32,1.98307294045411e-07,1.3750525991343234e-07,-9.624377442280166e-07,1.7356854928782536e+44
436233562610758.9,1256480.9936651299,1256480.9936650563,6.600489015899759e+32,6.762582014776959e+32,2.0312168625174948e-07,1.3980177657279434e-07,-9.79940438649967e-07,1.808968949643749e+44
443736618983560.7,1247149.3270814777,1247149.327081402,6.815286469077959e+32,6.988996117552764e+32,2.0829401582912548e-07,1.4226874919418175e-07,-9.987116990738385e-07,1.886036496794821e+44
451368725158485.25,1238286.2155690603,1238286.2155689823,7.04158896438026e+32,7.22794554626637e+32,2.1395155947804043e-07,1.4496729527813639e-07,-1.0192120363396252e-06,1.9683827503589295e+44
459132100744527.56,1230042.6958083292,1230042.6958082484,7.275395011816277e+32,7.475270446245062e+32,2.2003471402306616e-07,1.4786908122977422e-07,-1.0412206716519352e-06,2.054680781466302e+44
467029003527140.25,1222343.6818096633,1222343.6818095797,7.51809944970331e+32,7.732501995532292e+32,2.266226568859189e-07,1.510117405114053e-07,-1.0650181613606589e-06,2.1455506803199e+44
475061730124851.0,1215195.778010731,1215195.7780106443,7.768785276001642e+32,7.998718342111895e+32,2.337400474793746e-07,1.54406842977851e-07,-1.0906869267402037e-06,2.240763063582245e+44
483232616657185.1,1208557.385812308,1208557.3858122174,8.027897535656258e+32,8.274447535775773e+32,2.4145637109170604e-07,1.5808732184547775e-07,-1.1184702102208377e-06,2.3405902691002435e+44
491544039424056.0,1202405.5178648,1202405.5178647053,8.295330210783249e+32,8.559625438071634e+32,2.49834466386344e-07,1.6208288764294597e-07,-1.1485861970264843e-06,2.4451016114047796e+44
499998415596861.1,1196646.605053196,1196646.6050530965,8.574544807627656e+32,8.858011096802872e+32,2.590679760675116e-07,1.664857221921802e-07,-1.1817221153852235e-06,2.555788987955289e+44
508598203921452.3,1191287.6088312068,1191287.608831102,8.86495767198852e+32,9.169065423260867e+32,2.692439008582816e-07,1.7133784681290402e-07,-1.2181835000905441e-06,2.672597887244721e+44
517345905433209.44,1186323.9130802674,1186323.9130801563,9.166272998517379e+32,9.492559700399613e+32,2.8047723052280064e-07,1.7669387504527685e-07,-1.2583695636401203e-06,2.795581465300773e+44
526244064184392.06,1181740.8389212207,1181740.8389211025,9.478584909494233e+32,9.828686617730311e+32,2.929196556890457e-07,1.8262624118334379e-07,-1.3028108802020643e-06,2.9249520438300734e+44
535295267984022.4,1177521.966603026,1177521.9666028994,9.801976921540381e+32,1.0177632528178571e+33,3.0675520641931673e-07,1.8922246151839343e-07,-1.3521484459750565e-06,3.060918145442199e+44
544502149150481.06,1173652.1735760209,1173652.173575885,1.0136491098354339e+33,1.0539536803107857e+33,3.2220438210626073e-07,1.9658757242509812e-07,-1.4071512834725352e-06,3.2036803163335055e+44
553867385277060.6,1170108.1619131928,1170108.1619130454,1.0482854072811509e+33,1.0915286969264482e+33,3.395755109985108e-07,2.048682778305672e-07,-1.4688957504179196e-06,3.3537357979933984e+44
563393700010663.9,1166878.0771889733,1166878.0771888127,1.084078095686217e+33,1.1304689602248335e+33,3.591969685589306e-07,2.1422114384940566e-07,-1.5385260681380989e-06,3.511158892162524e+44
573083863843918.1,1163956.6064124438,1163956.6064122673,1.1208864263158792e+33,1.170632497641342e+33,3.8141007861344767e-07,2.2480831452354658e-07,-1.6172237953513168e-06,3.675511045975402e+44
582940694920899.4,1161321.3782245447,1161321.378224349,1.1587391021902854e+33,1.2120606948449437e+33,4.067544506387009e-07,2.3688620001694876e-07,-1.7068660742013004e-06,3.847086182482844e+44
592967059856729.6,1158919.8060188415,1158919.8060186224,1.1982179238933989e+33,1.255404189685755e+33,4.3636661101512936e-07,2.5099667054702584e-07,-1.8114354999744977e-06,4.028752698307435e+44
603165874571246.4,1156770.1036550303,1156770.103654782,1.2388785246140313e+33,1.3001915501965774e+33,4.709152227354087e-07,2.674590649856041e-07,-1.9332488896905967e-06,4.218731065026427e+44
613540105137035.1,1154864.9164654615,1154864.9164651765,1.2805342288241792e+33,1.346230045229193e+33,5.114907876718318e-07,2.8679205131022864e-07,-2.0760898055804917e-06,4.4163420002641594e+44
624092768642033.2,1153177.6994774442,1153177.699477112,1.3233369102590164e+33,1.3936999584124135e+33,5.599590223601549e-07,3.098840301746724e-07,-2.2464553970788294e-06,4.622480863529565e+44
