CE,RE,RJ,MA,MB,PC,PS,AL,MI
280000000000000.12,1941861.0716800408,1941861.0716799058,3.062768256101182e+32,3.0856479310409176e+32,1.7786377174174254e-07,1.1793838455593149e-07,-1.513539222064624e-06,7.343299485913764e+43
283196079897371.0,1905345.7125046782,1905345.7125045438,3.1140745224780083e+32,3.1382983860302222e+32,1.7988502437102937e-07,1.187636229870581e-07,-1.527143431236035e-06,7.460708273133309e+43
286428641675850.3,1870603.78144684,1870603.7814467063,3.166783348707112e+32,3.1924065341594596e+32,1.8198933691233046e-07,1.1962444221507683e-07,-1.541295868670397e-06,7.583440104916269e+43
289698101760462.56,1837305.3818727275,1837305.3818725941,3.2213090064978973e+32,3.248400947469496e+32,1.8419690892300093e-07,1.2052916377676449e-07,-1.5561315445955365e-06,7.712527962918213e+43
293004881329545.06,1805619.0975441707,1805619.0975440373,3.277284230537166e+32,3.305906208356593e+32,1.8649692506504072e-07,1.2147342070204548e-07,-1.571576697362284e-06,7.847173794934466e+43
296349406369005.4,1775315.8488441398,1775315.848844007,3.335006035324016e+32,3.365228934778447e+32,1.8890599558645114e-07,1.224640537138532e-07,-1.5877415594272501e-06,7.988156309720278e+43
299732107727197.4,1746308.0405356504,1746308.0405355173,3.394563665868768e+32,3.426463930358714e+32,1.9143284950842123e-07,1.2350476983812968e-07,-1.6046842881082284e-06,8.135775500343316e+43
303153421170424.1,1718678.4550994907,1718678.4550993573,3.455683424008104e+32,3.489331397028724e+32,1.9407114805825726e-07,1.2459298089133292e-07,-1.6223608117516748e-06,8.289433246097667e+43
306613787439074.06,1692175.3890357509,1692175.389035617,3.518823504432451e+32,3.5543059157830595e+32,1.9684661532126675e-07,1.2573936390646163e-07,-1.6409423255836736e-06,8.450364444723167e+43
310113652304398.2,1666908.7218012158,1666908.7218010814,3.583631753409317e+32,3.621027854210052e+32,1.9975022189185402e-07,1.2694021581573853e-07,-1.6603670238338355e-06,8.617765159486859e+43
313653466625935.1,1642750.775425244,1642750.7754251088,3.6503106584870324e+32,3.689707599802919e+32,2.027981322228005e-07,1.282022695067214e-07,-1.6807414828942595e-06,8.792237880374557e+43
