phi_c,phi_0
1e-05,0.005557467041490924
1.1129751160270888e-05,0.006184562005959895
1.2387136088955092e-05,0.006882215865043078
1.3786574225848134e-05,0.007658291780548941
1.5344114048629367e-05,0.008521500640261788
1.7077617113606153e-05,0.009481481709355095
1.9006962888482005e-05,0.010548886848400642
2.1154276726130788e-05,0.011735466725990884
2.354418359373456e-05,0.013054156613591102
2.6204090466999745e-05,0.014519158220549184
2.9164500627893372e-05,0.016146012538280685
3.245936347020173e-05,0.017951656744399296
3.612646382441315e-05,0.019954455814146548
4.020785526662465e-05,0.02217419658242287
4.475034238057187e-05,0.024632028662702088
4.9806017503268926e-05,0.027350333074255866
5.543285810954795e-05,0.030352496106241238
6.169539168618716e-05,0.03366256364323791
6.866543572027084e-05,0.03730475110622133
7.642292128781888e-05,0.04130278798819579
8.50568096874393e-05,0.045679085643503634
9.466611263077177e-05,0.050453734389762264
0.00010536102768906645,0.05564336178908903
0.00011726420201697205,0.06125991727158789
0.00013051213884566318,0.06730948384470037
0.0001452567628746955,0.07379124763055321
0.00016166716251418337,0.08069676900473588
0.0001799315289569933,0.08800968528192175
0.00020025931431784087,0.09570592939356846
0.00022288363358840396,0.10375447828524605
0.0002480639379535931,0.11211856340070249
0.0002760889901260365,0.12075720554138183
0.000307280175819327,0.12962689667051883
0.00034199518933533934,0.13868324829551387
0.00038063213553120507,0.14788245699846483
0.0004236340952064816,0.15718248991351175
0.0004714942062654641,0.16654394791166796
0.0005247613189244046,0.1759306115210807
0.0005840462898164167,0.18530970840430394
0.0006500289871736165,0.19465195602733185
0.0007234660874205267,0.20393143898436916
0.0008051997525885231,0.21312537457293698
0.0008961672880621948,0.2222138112595728
0.0009974118914107017,0.23117929497342599
0.0011100946155696227,0.24000652704476838
0.0012355076835646461,0.24868203026576502
0.0013750893074677216,0.25719383233595017
0.001530440181526495,0.26553117128433396
0.001703341838606968,0.273684223999267
0.0018957770804573831,0.2816438567008635
0.0021099527160835492,0.28940139472646187
0.0023483248689947596,0.29694840811844103
0.002613627143538738,0.30427650901293435
0.0029089019733315727,0.3113771565891056
0.0032375355112801312,0.31824146525979724
0.0036032964613088208,0.3248600118134867
0.0040103792971051795,0.33122263733648744
0.004463452363508272,0.33731823996722243
0.004967711412156997,0.3431345549076363
0.005528939185334521,0.34865791872358254
0.006153571731304401,0.3538730159341438
0.006848772211629522,0.3587626074020694
0.007622513046881469,0.36330724234808065
0.008483667342770892,0.36748495925222213
0.009442110645155648,0.37127098592554514
0.010508834190832707,0.37463745615592814
0.011696070952851459,0.3775531702034978
0.013017435925810915,0.37998343970104576
0.014488082259904583,0.3818900747803654
0.01612487503422729,0.38323159275883095
0.01794658466214141,0.3839637529573531
0.01997410214663679,0.38404054930728526
0.022230678654190004,0.38341581712534356
0.02474219215450802,0.38204562528652286
0.02753744418392806,0.3798916182555997
0.030648490135696784,0.37692542825037134
0.03411100686483218,0.3731341783926873
0.03796470182318738,0.3685269291121408
0.042253768416595804,0.36314168204815533
0.04702739280604241,0.35705227458555355
0.05234031796475647,0.35037423655825894
0.0582534714597195,0.34326853468805957
0.06483466415686195,0.3359422044844864
0.07215936786256076,0.3286452293569971
0.08031158081927486,0.3216636481240549
0.08938479098065127,0.3153096178545567
0.09948304811274733,0.30990981297453885
0.11072215701601341,0.3057938942474271
0.12323100555166683,0.30328472365059933
0.1371530427020012,0.3026915723984848
0.15264792361472776,0.3043069303645147
0.16989334049639582,0.30840687933825844
0.18908706035120584,0.3152545022843327
0.21044919293360403,0.3251055410350448
0.23422471492308514,0.3382154747004076
0.2606862792679319,0.35484730641688794
0.29013734191489665,0.375279538729825
0.3229156417815232,0.39981402309200975
0.3593970738787519,0.4287835662121244
0.4,0.46257029092437557
