outside_rho,outside_phi
1141740.5598579445,-0.0007253775805270782
1141740.6547409468,-0.0007253775043044189
1141741.6035709702,-0.0007253767420787227
1141751.0918712043,-0.0007253691199113608
1141845.974873545,-0.0007252929071966472
1142794.804896953,-0.0007245316748612081
1152283.1051310324,-0.0007170077668416014
1247166.107471826,-0.0006496605919912083
1635941.0446700084,-0.0004698131868730394
2086873.6435028256,-0.0003560053017783026
2757205.7676750487,-0.00026191956120372466
3700853.391574477,-0.0001909734592376261
5071400.188232489,-0.00013708802719949293
7082511.286856613,-9.69629233830694e-05
10000000.0,-6.806954736238471e-05
